,Influencer insta name,instagram name,category_1,category_2,Followers,Audience country(mostly),"Authentic engagement
","Engagement avg
",New_Category
283,esbilgic,Esra Bilgic,Lifestyle,Modeling,6.7M,India,319.1K,407.1K,Lifestyle
285,eunwo.o_c,차은우,Music,Lifestyle,27.4M,Indonesia,3.6M,4.5M,Music & Dance
287,evaluna,Evaluna Montaner de Echeverry,Family,Music,19.8M,Argentina,812.1K,1.1M,Other
288,evcenf,Fahriye Evcen Özçivit,Lifestyle,Beauty,12.8M,Turkey,375.6K,473.3K,Lifestyle
291,fabriziorom,Fabrizio Romano,Literature & Journalism,Shows,6.4M,Italy,328.9K,570.6K,Journalism
301,florencepugh,Florence Pugh,Humor & Fun & Happiness,Cinema & Actors/actresses,7.2M,United States,926.4K,1.4M,Humor
314,gatenm123,Gaten Matarazzo,Music,Cinema & Actors/actresses,13.6M,Brazil,449.5K,594.1K,Music & Dance
317,georginagio,Georgina Rodríguez,Lifestyle,Fashion,36.5M,India,2.5M,3.5M,Lifestyle
318,gessicakayane,GKAY,Shows,Humor & Fun & Happiness,19.3M,Brazil,173.6K,357.9K,Movies
322,gigihadid,Gigi Hadid,Modeling,Lifestyle,73.2M,United States,1.9M,2.8M,Fashion
325,gioewbank,Giovanna Ewbank,Cinema & Actors/actresses,Modeling,28M,Brazil,181.4K,290.6K,Movies
326,gisele,Gisele Bündchen,Modeling,Fashion,18.9M,Brazil,274.6K,408K,Fashion
329,grantgust,Grant Gustin,Cinema & Actors/actresses,Fashion,7.8M,Brazil,343.4K,487.3K,Movies
330,greeicy,Greeicy,Shows,Cinema & Actors/actresses,20.4M,Colombia,201.4K,270.9K,Movies
331,grefg_official,TheGrefg,Computers & Gadgets,Machinery & Technologies,7.1M,Spain,440.1K,546.1K,Science & Technology
332,gucci,Gucci Official,Accessories & Jewellery,Clothing & Outfits,47.9M,United States,57.9K,74.3K,Fashion
336,hadise,Hadise,Music,Shows,13.7M,Turkey,220.7K,257.2K,Music & Dance
339,haileybieber,Hailey Rhode Baldwin Bieber,Lifestyle,Modeling,42.2M,United States,1.8M,2.4M,Lifestyle
