Influencer_insta_name,category_1,followers,audience_country,"authentic_engagement
","engagement_avg
"
yugyeom,Celebrity/ Entertainment,10800000,Thailand,634200,821700
yungmiami305,Travel/ Lifestyle,5300000,United States,184600,547800
yuyacst,Fashion/ Beauty,17100000,Mexico,389800,598200
yuzi_chahal23,Travel/ Lifestyle,7500000,India,311500,379500
zacefron,Celebrity/ Entertainment,52100000,United States,598700,869300
zachking,Celebrity/ Entertainment,24500000,Indonesia,413900,637700
zayn,Celebrity/ Entertainment,44900000,India,3700000,5800000
zefelipecantor,Celebrity/ Entertainment,23100000,Brazil,278100,487800
zelenskiy_official,Celebrity/ Entertainment,16400000,Ukraine,174000,208100
zendaya,Celebrity/ Entertainment,136100000,United States,6400000,8600000
zidane,Sports,31200000,Spain,546000,744100
zkdlin,Celebrity/ Entertainment,13900000,Indonesia,1300000,1600000
zoeisabellakravitz,Celebrity/ Entertainment,8200000,United States,583000,885500
zoesugg,Travel/ Lifestyle,9400000,United Kingdom,208700,289300
