Influencer_insta_name,category_1,followers,audience_country,"authentic_engagement
","engagement_avg
"
dishapatani,Celebrity/ Entertainment,49600000,India,909300,1100000
divyankatripathidahiya,Celebrity/ Entertainment,18900000,India,146500,168200
dixiedamelio,Celebrity/ Entertainment,25100000,United States,293000,430300
djokernole,Sports,10400000,Serbia,195700,240900
djsnake,Celebrity/ Entertainment,9100000,India,362200,429600
dkharbour,Celebrity/ Entertainment,6200000,United States,352200,461500
dlwlrma,Celebrity/ Entertainment,25800000,South Korea,2900000,3500000
dntlrdl,Travel/ Lifestyle,5900000,Indonesia,1500000,2000000
dojacat,Celebrity/ Entertainment,22400000,United States,2800000,3900000
domelipa,Travel/ Lifestyle,17200000,Mexico,1100000,1300000
donya,Fashion/ Beauty,14700000,Iran,379800,596700
dovecameron,Celebrity/ Entertainment,46400000,United States,618500,807200
dqsalmaan,Celebrity/ Entertainment,10200000,India,176800,239600
dualipa,Celebrity/ Entertainment,81600000,Mexico,2200000,2700000
dukissj,Celebrity/ Entertainment,9000000,Argentina,607200,1100000
dylanminnette,Celebrity/ Entertainment,7300000,United States,215700,350400
dylansprouse,Celebrity/ Entertainment,9300000,United States,350300,549800
e_milygarcia,Celebrity/ Entertainment,11000000,Brazil,230100,380500
easportsfifa,Sports,25800000,Spain,70900,118300
ebi,Celebrity/ Entertainment,10300000,Iran,193600,260500
ederbez,Celebrity/ Entertainment,18100000,Mexico,248300,278900
egorkreed,Celebrity/ Entertainment,14700000,Russia,322600,396900
eilirjani,Travel/ Lifestyle,9500000,Albania,423900,611600
elcinsangu,Celebrity/ Entertainment,8300000,Turkey,284600,342800
eliana,Celebrity/ Entertainment,29600000,Brazil,119300,151500
ellenpompeo,Celebrity/ Entertainment,10000000,Brazil,285800,495800
elnazshakerdoost,Celebrity/ Entertainment,9500000,Iran,219000,295700
elrodrigocontreras,Travel/ Lifestyle,12700000,Mexico,563100,620800
elrubiuswtf,Business/ Tech/ Gaming,16200000,Mexico,1400000,1500000
emilia_clarke,Celebrity/ Entertainment,27000000,India,490500,617200
emiliamernes,Celebrity/ Entertainment,4900000,Argentina,549500,1000000
eminem,Celebrity/ Entertainment,35600000,Iran,771200,993500
emmachamberlain,Travel/ Lifestyle,15300000,United States,1100000,1700000
emmaroberts,Celebrity/ Entertainment,17700000,United States,266400,392400
emrata,Fashion/ Beauty,29000000,United States,475400,758700
esbilgic,Travel/ Lifestyle,6700000,India,319100,407100
ester_exposito,Celebrity/ Entertainment,29000000,Russia,2900000,4300000
eunwo.o_c,Celebrity/ Entertainment,27400000,Indonesia,3600000,4500000
evaluna,Family/ Home/ Parenting,19800000,Argentina,812100,1100000
evcenf,Travel/ Lifestyle,12800000,Turkey,375600,473300
f1,Automotive,18300000,Italy,266600,337700
fadiljaidi,Travel/ Lifestyle,7000000,Indonesia,581500,873000
faz3,Travel/ Lifestyle,14000000,United Arab Emirates,257300,337900
fcbarcelona,Sports,107100000,Indonesia,450100,687900
fcbayern,Sports,31800000,Germany,115000,167400
fedez,Celebrity/ Entertainment,13700000,Italy,725500,1000000
feliciathegoat,Celebrity/ Entertainment,12400000,United States,1000000,1700000
felicyangelista_,Family/ Home/ Parenting,21000000,Indonesia,107000,147800
felipeneto,Travel/ Lifestyle,15400000,Brazil,166100,236000
fifaworldcup,Sports,25500000,India,71200,109100
florencepugh,Travel/ Lifestyle,7200000,United States,926400,1400000
fortnite,Business/ Tech/ Gaming,26100000,United States,102100,120300
francinyehlke,Fashion/ Beauty,15200000,Brazil,86400,188600
frenchmontana,Celebrity/ Entertainment,24500000,United States,91500,151600
frenkiedejong,Sports,10000000,Spain,528600,792500
fuckjerry,Travel/ Lifestyle,16600000,United States,405300,523100
gabigol,Sports,9600000,Brazil,282000,427000
gal_gadot,Celebrity/ Entertainment,77000000,United States,597500,771600
galatasaray,Sports,11100000,Turkey,254400,307800
garethbale11,Sports,46300000,Spain,402200,633900
gatenm123,Celebrity/ Entertainment,13600000,Brazil,449500,594100
geneliad,Celebrity/ Entertainment,9600000,India,444400,550600
georginagio,Travel/ Lifestyle,36500000,India,2500000,3500000
gessicakayane,Celebrity/ Entertainment,19300000,Brazil,173600,357900
